행정구역별(읍면동),2015전체,2015남자,2015여자,2020전체,2020남자,2020여자
전국,51069375,25608502,25460873,51829136,25915207,25913929
서울특별시,9904312,4859535,5044777,9586195,4647733,4938462
부산광역시,3448737,1701347,1747390,3349016,1638751,1710265
대구광역시,2466052,1228511,1237541,2410700,1190271,1220429
인천광역시,2890451,1455017,1435434,2945454,1477064,1468390
광주광역시,1502881,748867,754014,1477573,734140,743433
대전광역시,1538394,772243,766151,1488435,744349,744086
울산광역시,1166615,606924,559691,1135423,585978,549445
세종특별자치시,204088,103210,100878,353933,177939,175994
경기도,12479061,6309661,6169400,13511676,6828367,6683309
강원도,1518040,768241,749799,1521763,767674,754089
충청북도,1589347,805377,783970,1632088,833819,798269
충청남도,2107802,1078310,1029492,2176636,1117575,1059061
전라북도,1834114,915729,918385,1802766,899058,903708
전라남도,1799044,900967,898077,1788807,903281,885526
경상북도,2680294,1351037,1329257,2644757,1338823,1305934
경상남도,3334524,1698737,1635787,3333056,1692212,1640844
제주특별자치도,605619,304789,300830,670858,338173,332685
