시도,시군구,연도,월,사고건수
서울,종로구,2018년,01월,103.0
서울,종로구,2018년,02월,84.0
서울,종로구,2018년,03월,101.0
서울,종로구,2018년,04월,93.0
서울,종로구,2018년,05월,102.0
서울,종로구,2018년,06월,96.0
서울,종로구,2018년,07월,89.0
서울,종로구,2018년,08월,90.0
서울,종로구,2018년,09월,91.0
서울,종로구,2018년,10월,113.0
서울,종로구,2018년,11월,75.0
서울,종로구,2018년,12월,97.0
서울,종로구,2019년,01월,87.0
서울,종로구,2019년,02월,66.0
서울,종로구,2019년,03월,87.0
서울,종로구,2019년,04월,85.0
서울,종로구,2019년,05월,112.0
서울,종로구,2019년,06월,95.0
서울,종로구,2019년,07월,83.0
서울,종로구,2019년,08월,115.0
서울,종로구,2019년,09월,99.0
서울,종로구,2019년,10월,104.0
서울,종로구,2019년,11월,100.0
서울,종로구,2019년,12월,100.0
서울,종로구,2020년,01월,76.0
서울,종로구,2020년,02월,90.0
서울,종로구,2020년,03월,55.0
서울,종로구,2020년,04월,61.0
서울,종로구,2020년,05월,83.0
서울,종로구,2020년,06월,82.0
서울,종로구,2020년,07월,89.0
서울,종로구,2020년,08월,69.0
서울,종로구,2020년,09월,73.0
서울,종로구,2020년,10월,75.0
서울,종로구,2020년,11월,82.0
서울,종로구,2020년,12월,68.0
서울,중구,2018년,01월,104.0
서울,중구,2018년,02월,95.0
서울,중구,2018년,03월,106.0
서울,중구,2018년,04월,84.0
서울,중구,2018년,05월,105.0
서울,중구,2018년,06월,103.0
서울,중구,2018년,07월,80.0
서울,중구,2018년,08월,85.0
서울,중구,2018년,09월,77.0
서울,중구,2018년,10월,102.0
서울,중구,2018년,11월,93.0
서울,중구,2018년,12월,94.0
서울,중구,2019년,01월,100.0
서울,중구,2019년,02월,53.0
서울,중구,2019년,03월,85.0
서울,중구,2019년,04월,113.0
서울,중구,2019년,05월,104.0
서울,중구,2019년,06월,104.0
서울,중구,2019년,07월,107.0
서울,중구,2019년,08월,101.0
서울,중구,2019년,09월,90.0
서울,중구,2019년,10월,93.0
서울,중구,2019년,11월,121.0
서울,중구,2019년,12월,113.0
서울,중구,2020년,01월,81.0
서울,중구,2020년,02월,78.0
서울,중구,2020년,03월,61.0
서울,중구,2020년,04월,64.0
서울,중구,2020년,05월,104.0
서울,중구,2020년,06월,80.0
서울,중구,2020년,07월,77.0
서울,중구,2020년,08월,83.0
서울,중구,2020년,09월,66.0
서울,중구,2020년,10월,94.0
서울,중구,2020년,11월,88.0
서울,중구,2020년,12월,79.0
서울,용산구,2018년,01월,100.0
서울,용산구,2018년,02월,104.0
서울,용산구,2018년,03월,102.0
서울,용산구,2018년,04월,123.0
서울,용산구,2018년,05월,134.0
서울,용산구,2018년,06월,105.0
서울,용산구,2018년,07월,114.0
서울,용산구,2018년,08월,118.0
서울,용산구,2018년,09월,102.0
서울,용산구,2018년,10월,125.0
서울,용산구,2018년,11월,100.0
서울,용산구,2018년,12월,103.0
서울,용산구,2019년,01월,104.0
서울,용산구,2019년,02월,87.0
서울,용산구,2019년,03월,112.0
서울,용산구,2019년,04월,102.0
서울,용산구,2019년,05월,98.0
서울,용산구,2019년,06월,99.0
서울,용산구,2019년,07월,92.0
서울,용산구,2019년,08월,95.0
서울,용산구,2019년,09월,95.0
서울,용산구,2019년,10월,100.0
서울,용산구,2019년,11월,114.0
서울,용산구,2019년,12월,89.0
서울,용산구,2020년,01월,71.0
서울,용산구,2020년,02월,85.0
서울,용산구,2020년,03월,66.0
서울,용산구,2020년,04월,88.0
서울,용산구,2020년,05월,82.0
서울,용산구,2020년,06월,95.0
서울,용산구,2020년,07월,79.0
서울,용산구,2020년,08월,71.0
서울,용산구,2020년,09월,62.0
서울,용산구,2020년,10월,70.0
서울,용산구,2020년,11월,64.0
서울,용산구,2020년,12월,57.0
서울,성동구,2018년,01월,81.0
서울,성동구,2018년,02월,91.0
서울,성동구,2018년,03월,99.0
서울,성동구,2018년,04월,88.0
서울,성동구,2018년,05월,112.0
서울,성동구,2018년,06월,92.0
서울,성동구,2018년,07월,103.0
서울,성동구,2018년,08월,91.0
서울,성동구,2018년,09월,94.0
서울,성동구,2018년,10월,113.0
서울,성동구,2018년,11월,104.0
서울,성동구,2018년,12월,75.0
서울,성동구,2019년,01월,88.0
서울,성동구,2019년,02월,76.0
서울,성동구,2019년,03월,78.0
서울,성동구,2019년,04월,96.0
서울,성동구,2019년,05월,101.0
서울,성동구,2019년,06월,108.0
서울,성동구,2019년,07월,87.0
서울,성동구,2019년,08월,75.0
서울,성동구,2019년,09월,89.0
서울,성동구,2019년,10월,110.0
서울,성동구,2019년,11월,97.0
서울,성동구,2019년,12월,86.0
서울,성동구,2020년,01월,86.0
서울,성동구,2020년,02월,76.0
서울,성동구,2020년,03월,77.0
서울,성동구,2020년,04월,89.0
서울,성동구,2020년,05월,96.0
서울,성동구,2020년,06월,104.0
서울,성동구,2020년,07월,108.0
서울,성동구,2020년,08월,99.0
서울,성동구,2020년,09월,98.0
서울,성동구,2020년,10월,101.0
서울,성동구,2020년,11월,102.0
서울,성동구,2020년,12월,83.0
서울,동대문구,2018년,01월,142.0
서울,동대문구,2018년,02월,131.0
서울,동대문구,2018년,03월,128.0
서울,동대문구,2018년,04월,135.0
서울,동대문구,2018년,05월,150.0
서울,동대문구,2018년,06월,146.0
서울,동대문구,2018년,07월,152.0
서울,동대문구,2018년,08월,135.0
서울,동대문구,2018년,09월,148.0
서울,동대문구,2018년,10월,151.0
서울,동대문구,2018년,11월,133.0
서울,동대문구,2018년,12월,148.0
서울,동대문구,2019년,01월,115.0
서울,동대문구,2019년,02월,92.0
서울,동대문구,2019년,03월,111.0
서울,동대문구,2019년,04월,126.0
서울,동대문구,2019년,05월,112.0
서울,동대문구,2019년,06월,132.0
서울,동대문구,2019년,07월,142.0
서울,동대문구,2019년,08월,137.0
서울,동대문구,2019년,09월,157.0
서울,동대문구,2019년,10월,139.0
서울,동대문구,2019년,11월,149.0
서울,동대문구,2019년,12월,153.0
서울,동대문구,2020년,01월,98.0
서울,동대문구,2020년,02월,119.0
서울,동대문구,2020년,03월,92.0
서울,동대문구,2020년,04월,119.0
서울,동대문구,2020년,05월,108.0
서울,동대문구,2020년,06월,144.0
서울,동대문구,2020년,07월,134.0
서울,동대문구,2020년,08월,119.0
서울,동대문구,2020년,09월,131.0
서울,동대문구,2020년,10월,137.0
서울,동대문구,2020년,11월,138.0
서울,동대문구,2020년,12월,109.0
서울,성북구,2018년,01월,147.0
서울,성북구,2018년,02월,116.0
서울,성북구,2018년,03월,117.0
서울,성북구,2018년,04월,109.0
서울,성북구,2018년,05월,139.0
서울,성북구,2018년,06월,108.0
서울,성북구,2018년,07월,107.0
서울,성북구,2018년,08월,105.0
서울,성북구,2018년,09월,117.0
서울,성북구,2018년,10월,131.0
서울,성북구,2018년,11월,104.0
서울,성북구,2018년,12월,127.0
서울,성북구,2019년,01월,105.0
서울,성북구,2019년,02월,102.0
서울,성북구,2019년,03월,126.0
서울,성북구,2019년,04월,133.0
서울,성북구,2019년,05월,128.0
서울,성북구,2019년,06월,115.0
서울,성북구,2019년,07월,117.0
서울,성북구,2019년,08월,125.0
서울,성북구,2019년,09월,128.0
서울,성북구,2019년,10월,149.0
서울,성북구,2019년,11월,150.0
서울,성북구,2019년,12월,131.0
서울,성북구,2020년,01월,109.0
서울,성북구,2020년,02월,124.0
서울,성북구,2020년,03월,93.0
서울,성북구,2020년,04월,88.0
서울,성북구,2020년,05월,122.0
서울,성북구,2020년,06월,109.0
서울,성북구,2020년,07월,104.0
서울,성북구,2020년,08월,78.0
서울,성북구,2020년,09월,102.0
서울,성북구,2020년,10월,124.0
서울,성북구,2020년,11월,108.0
서울,성북구,2020년,12월,114.0
서울,도봉구,2018년,01월,67.0
서울,도봉구,2018년,02월,61.0
서울,도봉구,2018년,03월,53.0
서울,도봉구,2018년,04월,63.0
서울,도봉구,2018년,05월,86.0
서울,도봉구,2018년,06월,78.0
서울,도봉구,2018년,07월,76.0
서울,도봉구,2018년,08월,77.0
서울,도봉구,2018년,09월,69.0
서울,도봉구,2018년,10월,82.0
서울,도봉구,2018년,11월,53.0
서울,도봉구,2018년,12월,59.0
서울,도봉구,2019년,01월,70.0
서울,도봉구,2019년,02월,48.0
서울,도봉구,2019년,03월,68.0
서울,도봉구,2019년,04월,67.0
서울,도봉구,2019년,05월,82.0
서울,도봉구,2019년,06월,83.0
서울,도봉구,2019년,07월,63.0
서울,도봉구,2019년,08월,79.0
서울,도봉구,2019년,09월,71.0
서울,도봉구,2019년,10월,79.0
서울,도봉구,2019년,11월,72.0
