시도,시군구,연도,월,사망자수
서울,종로구,2018년,01월,0.0
서울,종로구,2018년,02월,1.0
서울,종로구,2018년,03월,0.0
서울,종로구,2018년,04월,0.0
서울,종로구,2018년,05월,1.0
서울,종로구,2018년,06월,1.0
서울,종로구,2018년,07월,0.0
서울,종로구,2018년,08월,0.0
서울,종로구,2018년,09월,1.0
서울,종로구,2018년,10월,0.0
서울,종로구,2018년,11월,1.0
서울,종로구,2018년,12월,1.0
서울,종로구,2019년,01월,1.0
서울,종로구,2019년,02월,1.0
서울,종로구,2019년,03월,2.0
서울,종로구,2019년,04월,0.0
서울,종로구,2019년,05월,1.0
서울,종로구,2019년,06월,1.0
서울,종로구,2019년,07월,0.0
서울,종로구,2019년,08월,0.0
서울,종로구,2019년,09월,0.0
서울,종로구,2019년,10월,0.0
서울,종로구,2019년,11월,0.0
서울,종로구,2019년,12월,0.0
서울,종로구,2020년,01월,1.0
서울,종로구,2020년,02월,1.0
서울,종로구,2020년,03월,0.0
서울,종로구,2020년,04월,0.0
서울,종로구,2020년,05월,1.0
서울,종로구,2020년,06월,0.0
서울,종로구,2020년,07월,0.0
서울,종로구,2020년,08월,1.0
서울,종로구,2020년,09월,0.0
서울,종로구,2020년,10월,0.0
서울,종로구,2020년,11월,1.0
서울,종로구,2020년,12월,0.0
서울,중구,2018년,01월,1.0
서울,중구,2018년,02월,2.0
서울,중구,2018년,03월,1.0
서울,중구,2018년,04월,1.0
서울,중구,2018년,05월,1.0
서울,중구,2018년,06월,0.0
서울,중구,2018년,07월,0.0
서울,중구,2018년,08월,1.0
서울,중구,2018년,09월,0.0
서울,중구,2018년,10월,0.0
서울,중구,2018년,11월,1.0
서울,중구,2018년,12월,1.0
서울,중구,2019년,01월,3.0
서울,중구,2019년,02월,0.0
서울,중구,2019년,03월,0.0
서울,중구,2019년,04월,1.0
서울,중구,2019년,05월,0.0
서울,중구,2019년,06월,0.0
서울,중구,2019년,07월,0.0
서울,중구,2019년,08월,0.0
서울,중구,2019년,09월,0.0
서울,중구,2019년,10월,1.0
서울,중구,2019년,11월,0.0
서울,중구,2019년,12월,0.0
서울,중구,2020년,01월,0.0
서울,중구,2020년,02월,0.0
서울,중구,2020년,03월,2.0
서울,중구,2020년,04월,0.0
서울,중구,2020년,05월,2.0
서울,중구,2020년,06월,1.0
서울,중구,2020년,07월,0.0
서울,중구,2020년,08월,0.0
서울,중구,2020년,09월,0.0
서울,중구,2020년,10월,0.0
서울,중구,2020년,11월,0.0
서울,중구,2020년,12월,1.0
서울,용산구,2018년,01월,3.0
서울,용산구,2018년,02월,1.0
서울,용산구,2018년,03월,0.0
서울,용산구,2018년,04월,0.0
서울,용산구,2018년,05월,2.0
서울,용산구,2018년,06월,3.0
서울,용산구,2018년,07월,1.0
서울,용산구,2018년,08월,1.0
서울,용산구,2018년,09월,1.0
서울,용산구,2018년,10월,1.0
서울,용산구,2018년,11월,0.0
서울,용산구,2018년,12월,1.0
서울,용산구,2019년,01월,1.0
서울,용산구,2019년,02월,0.0
서울,용산구,2019년,03월,2.0
서울,용산구,2019년,04월,0.0
서울,용산구,2019년,05월,0.0
서울,용산구,2019년,06월,0.0
서울,용산구,2019년,07월,2.0
서울,용산구,2019년,08월,3.0
서울,용산구,2019년,09월,1.0
서울,용산구,2019년,10월,0.0
서울,용산구,2019년,11월,0.0
서울,용산구,2019년,12월,1.0
서울,용산구,2020년,01월,0.0
서울,용산구,2020년,02월,1.0
서울,용산구,2020년,03월,3.0
서울,용산구,2020년,04월,1.0
서울,용산구,2020년,05월,1.0
서울,용산구,2020년,06월,0.0
서울,용산구,2020년,07월,2.0
서울,용산구,2020년,08월,1.0
서울,용산구,2020년,09월,1.0
서울,용산구,2020년,10월,1.0
서울,용산구,2020년,11월,0.0
서울,용산구,2020년,12월,1.0
서울,성동구,2018년,01월,3.0
서울,성동구,2018년,02월,0.0
서울,성동구,2018년,03월,2.0
서울,성동구,2018년,04월,0.0
서울,성동구,2018년,05월,0.0
서울,성동구,2018년,06월,1.0
서울,성동구,2018년,07월,1.0
서울,성동구,2018년,08월,0.0
서울,성동구,2018년,09월,1.0
서울,성동구,2018년,10월,0.0
서울,성동구,2018년,11월,1.0
서울,성동구,2018년,12월,0.0
서울,성동구,2019년,01월,2.0
서울,성동구,2019년,02월,0.0
서울,성동구,2019년,03월,1.0
서울,성동구,2019년,04월,1.0
서울,성동구,2019년,05월,3.0
서울,성동구,2019년,06월,1.0
서울,성동구,2019년,07월,0.0
서울,성동구,2019년,08월,0.0
서울,성동구,2019년,09월,0.0
서울,성동구,2019년,10월,3.0
서울,성동구,2019년,11월,0.0
서울,성동구,2019년,12월,2.0
서울,성동구,2020년,01월,0.0
서울,성동구,2020년,02월,0.0
서울,성동구,2020년,03월,2.0
서울,성동구,2020년,04월,0.0
서울,성동구,2020년,05월,0.0
서울,성동구,2020년,06월,0.0
서울,성동구,2020년,07월,2.0
서울,성동구,2020년,08월,2.0
서울,성동구,2020년,09월,1.0
서울,성동구,2020년,10월,0.0
서울,성동구,2020년,11월,1.0
서울,성동구,2020년,12월,1.0
서울,동대문구,2018년,01월,0.0
서울,동대문구,2018년,02월,1.0
서울,동대문구,2018년,03월,3.0
서울,동대문구,2018년,04월,2.0
서울,동대문구,2018년,05월,0.0
서울,동대문구,2018년,06월,1.0
서울,동대문구,2018년,07월,0.0
서울,동대문구,2018년,08월,0.0
서울,동대문구,2018년,09월,2.0
서울,동대문구,2018년,10월,2.0
서울,동대문구,2018년,11월,2.0
서울,동대문구,2018년,12월,1.0
서울,동대문구,2019년,01월,0.0
서울,동대문구,2019년,02월,0.0
서울,동대문구,2019년,03월,1.0
서울,동대문구,2019년,04월,0.0
서울,동대문구,2019년,05월,0.0
서울,동대문구,2019년,06월,4.0
서울,동대문구,2019년,07월,1.0
서울,동대문구,2019년,08월,2.0
서울,동대문구,2019년,09월,2.0
서울,동대문구,2019년,10월,3.0
서울,동대문구,2019년,11월,0.0
서울,동대문구,2019년,12월,2.0
서울,동대문구,2020년,01월,1.0
서울,동대문구,2020년,02월,0.0
서울,동대문구,2020년,03월,2.0
서울,동대문구,2020년,04월,0.0
서울,동대문구,2020년,05월,1.0
서울,동대문구,2020년,06월,1.0
서울,동대문구,2020년,07월,0.0
서울,동대문구,2020년,08월,0.0
서울,동대문구,2020년,09월,0.0
서울,동대문구,2020년,10월,2.0
서울,동대문구,2020년,11월,2.0
서울,동대문구,2020년,12월,1.0
서울,성북구,2018년,01월,0.0
서울,성북구,2018년,02월,2.0
서울,성북구,2018년,03월,1.0
서울,성북구,2018년,04월,1.0
서울,성북구,2018년,05월,0.0
서울,성북구,2018년,06월,2.0
서울,성북구,2018년,07월,0.0
서울,성북구,2018년,08월,2.0
서울,성북구,2018년,09월,1.0
서울,성북구,2018년,10월,3.0
서울,성북구,2018년,11월,0.0
서울,성북구,2018년,12월,2.0
서울,성북구,2019년,01월,0.0
서울,성북구,2019년,02월,2.0
서울,성북구,2019년,03월,0.0
서울,성북구,2019년,04월,1.0
서울,성북구,2019년,05월,1.0
서울,성북구,2019년,06월,1.0
서울,성북구,2019년,07월,0.0
서울,성북구,2019년,08월,0.0
서울,성북구,2019년,09월,0.0
서울,성북구,2019년,10월,0.0
서울,성북구,2019년,11월,1.0
서울,성북구,2019년,12월,2.0
서울,성북구,2020년,01월,0.0
서울,성북구,2020년,02월,1.0
서울,성북구,2020년,03월,1.0
서울,성북구,2020년,04월,0.0
