시도,시군구,연도,월,부상자수
서울,종로구,2018년,01월,133.0
서울,종로구,2018년,02월,111.0
서울,종로구,2018년,03월,149.0
서울,종로구,2018년,04월,114.0
서울,종로구,2018년,05월,143.0
서울,종로구,2018년,06월,123.0
서울,종로구,2018년,07월,128.0
서울,종로구,2018년,08월,127.0
서울,종로구,2018년,09월,133.0
서울,종로구,2018년,10월,166.0
서울,종로구,2018년,11월,100.0
서울,종로구,2018년,12월,119.0
서울,종로구,2019년,01월,125.0
서울,종로구,2019년,02월,84.0
서울,종로구,2019년,03월,122.0
서울,종로구,2019년,04월,131.0
서울,종로구,2019년,05월,158.0
서울,종로구,2019년,06월,116.0
서울,종로구,2019년,07월,109.0
서울,종로구,2019년,08월,164.0
서울,종로구,2019년,09월,143.0
서울,종로구,2019년,10월,139.0
서울,종로구,2019년,11월,126.0
서울,종로구,2019년,12월,142.0
서울,종로구,2020년,01월,103.0
서울,종로구,2020년,02월,121.0
서울,종로구,2020년,03월,69.0
서울,종로구,2020년,04월,108.0
서울,종로구,2020년,05월,112.0
서울,종로구,2020년,06월,107.0
서울,종로구,2020년,07월,130.0
서울,종로구,2020년,08월,88.0
서울,종로구,2020년,09월,91.0
서울,종로구,2020년,10월,93.0
서울,종로구,2020년,11월,107.0
서울,종로구,2020년,12월,95.0
서울,중구,2018년,01월,143.0
서울,중구,2018년,02월,116.0
서울,중구,2018년,03월,141.0
서울,중구,2018년,04월,130.0
서울,중구,2018년,05월,134.0
서울,중구,2018년,06월,129.0
서울,중구,2018년,07월,116.0
서울,중구,2018년,08월,117.0
서울,중구,2018년,09월,93.0
서울,중구,2018년,10월,128.0
서울,중구,2018년,11월,131.0
서울,중구,2018년,12월,128.0
서울,중구,2019년,01월,124.0
서울,중구,2019년,02월,80.0
서울,중구,2019년,03월,113.0
서울,중구,2019년,04월,154.0
서울,중구,2019년,05월,135.0
서울,중구,2019년,06월,139.0
서울,중구,2019년,07월,140.0
서울,중구,2019년,08월,127.0
서울,중구,2019년,09월,125.0
서울,중구,2019년,10월,133.0
서울,중구,2019년,11월,163.0
서울,중구,2019년,12월,182.0
서울,중구,2020년,01월,114.0
서울,중구,2020년,02월,110.0
서울,중구,2020년,03월,75.0
서울,중구,2020년,04월,77.0
서울,중구,2020년,05월,137.0
서울,중구,2020년,06월,114.0
서울,중구,2020년,07월,97.0
서울,중구,2020년,08월,102.0
서울,중구,2020년,09월,80.0
서울,중구,2020년,10월,130.0
서울,중구,2020년,11월,114.0
서울,중구,2020년,12월,98.0
서울,용산구,2018년,01월,140.0
서울,용산구,2018년,02월,149.0
서울,용산구,2018년,03월,160.0
서울,용산구,2018년,04월,162.0
서울,용산구,2018년,05월,182.0
서울,용산구,2018년,06월,142.0
서울,용산구,2018년,07월,145.0
서울,용산구,2018년,08월,169.0
서울,용산구,2018년,09월,137.0
서울,용산구,2018년,10월,185.0
서울,용산구,2018년,11월,132.0
서울,용산구,2018년,12월,149.0
서울,용산구,2019년,01월,142.0
서울,용산구,2019년,02월,105.0
서울,용산구,2019년,03월,163.0
서울,용산구,2019년,04월,138.0
서울,용산구,2019년,05월,143.0
서울,용산구,2019년,06월,135.0
서울,용산구,2019년,07월,118.0
서울,용산구,2019년,08월,131.0
서울,용산구,2019년,09월,125.0
서울,용산구,2019년,10월,139.0
서울,용산구,2019년,11월,151.0
서울,용산구,2019년,12월,124.0
